STRID,TEXT
2_Process.21,"Возможность будет!!! {тычет пальцем в карту} Вот здесь - не поверите, братва - полный лагерь баб. Охраняется арийцами. Чё там у них - тайный лесной бордель или гарем канцлера - мне непонятно. Есть смысл уточнить! {подмигивает} Только лучше иметь не только орудия в штанах, но и оружие в руках."
2_Process,"Чё вам сказать, парни... Рад всех видеть! Особенно тебя, Угрюмченко. Я тогда думал - намотали арийцы твои кишки на штык. Вчетвером мы по этой планетке паровым катком проедемся, живые позавидуют мёртвым. Ещё бы Хартмана отыскать."
1_Process.15,"Видел ли ты в этом городе подходящих попов, Демон?"
2_Process.33,"{переводит палец в другую точку} Здесь - старая заброшенная шахта в горах. Ржавые рельсы, какой-то пакгауз. Но место это плотно охраняется непонятными людьми. Чую - замышляют они что-то. Все вооружены. Если соберёмся к ним в гости, потребуются весомые аргументы, лучше из пороха и свинца. Место явно интересное."
2_Process.11,"Заставим обучать тебя строевому шагу три часа кряду, как в учебке было!!!"
2_Process.23,"Хорошая наводка, удружил так удружил! {тоже подмигнуть}"
1_Process.17,"В этом пока нет. Арийцы – народ странный, никаких попов не держат. Надо где-нибудь ещё порыскать. Скорее всего, в Северном городе есть. Я там бывал, видел. Даже познакомился с каким-то батюшкой Евлампием. Он меня очень хотел в свою веру обратить. Долго мы с ним беседовали, а потом он заплакал и убежал. Хе-хе. Можно к нему обратиться, он во имя богоугодного дела на всё пойдёт!"
2_Process.35,"Надо проверить! Ну что ж, давайте по этим точкам пробежимся, а то добрый я какой-то становлюсь. Даже набожный. Особенно после общения с батюшкой Евлампием, царствие ему небесное. Выдвигаемся!"
2_Process.13,"{весело посмеяться задорной шутке Демона, глядя на хмурого и насупившегося Угрюмого}"
2_Process.5,"Скоро обнаружим! Ты лучше расскажи, где сам был, что видел. Как говорится, любая информация может оказаться полезной!"
1_Process,"{Перед тобой - Демон, каким ты давно его знаешь - высокий, крепкий, с бешеным взглядом и резкими движениями. Сейчас он зверски ревёт на всю тюрьму и трясёт прутья, бурно радуясь твоему внезапному появлению} @hero! @hero! Наконец-то, блин! Где тебя мотало? С меня тут уже почти голову сняли! Выручай, ёлы-палы! <surprise1>"
2_Process.25,"{ведёт пальцем, указывает другую точку} Здесь - негрильное кладбище. В могилах я не копался, но любопытства ради можно и проверить - что негры пытаются унести с собой в лучший мир. Главное, самим туда не попасть. Так что предлагаю взять дробовики, хе-хе."
1_Process.19,"{развести руками} Сделаю что смогу, блин. Ты уж тут не падай духом, держись!"
2_Process.15,"{обращается к тебе} Челнок-то обнаружили?"
2_Process.7,"{угрюмо} Что будем делать с этим гадом, когда найдём?"
2_Process.27,"Да у них, судя по тем неграм, которых я встречал, и в этом-то мире мало что есть. Ну, если ты советуешь - заглянем, конечно."
2_Process.17,"Я тут однажды из арийского застенка убежал. Долго бегал, пока во сне не скрутили, уроды. Нашёл кое-что любопытное, могу рассказать."
1_Process.3,"{крепко обнявшись через решётку} Да поди теперь пойми, как тебя выручать. Наломал ты дров, Демон. "
2_Process.29,"{опять тычет пальцем в карту} Тут - плантация растения какого-то. Похоже на табак! Табака я на планете до этого не видел ни разу, он тут в жестоком дефиците. Наверно поэтому вокруг плантации - здоровенное минное поле. Не удивлюсь, если охраняется злыми людьми. К табачной экспедиции имеет смысл подготовиться как следует."
1_Preparation,"Надо найти для Демона священника с капюшоном на голове, лучше всего - батюшку Евлампия. Надо убедить священника прийти в арийскую тюрьму - якобы для того, чтобы исповедовать Демона. Тогда у Демона появится шанс сбежать."
2_Process.19,"Давай-давай! Надеюсь, там будет возможность чем-нибудь поживиться. Тебя обмундируем, да и нам самим не помешает амуницию обновить."
1_Process.5,"{Наклоняется к тебе, шепчет на ухо} Я пока сидел, изобрёл отличный способ для побега! Но мне понадобится помощник снаружи. "
1a_Process.3,"{кивнуть}"
1_Process.7,"Что за способ?"
1_Process.21,"{жмёт тебе руку}"
1_Process.8,"{Наклоняется ещё ниже, шепчет заговорщицки} Надо, чтобы ты ночью потихоньку вырезал всю охрану - я и убегу! <smile5>"
1_Process.11,"Толково придумано! А других вариантов нет? <distrust>"
1a_Process,"{Демон явно волнуется} Слышь, @hero, ты бы не медлил. Уже вот-вот казнят, подонки."
1_Process.23,"{выход}"
2_Process.30,"Да уж..."
1_Process.13,"{смеётся} Пошутил я. {снова шепчет} В общем, гляди. Если сможешь заслать мне священника с балахоном на башке - мол, для исповеди перед смертью лютой - я, возможно, сумею отсюда вылезти. Реально такое сделать?"
