STRID,TEXT
1____________________,"1____________________"
0_p_brief_0_how_a,"{глядит чуть искоса} Ну что, Кабан? Понял, где у нас брешь в охране, через которую рабочая сила утекает? Или мне ещё кого-нибудь смышлёного к этому делу привлечь?"
0_p_brief_1_story_q,"Короче, всё оказалось просто до банальщины. Желающий свинтить покупает билет у охраны паровоза, и те его сами вывозят следующим рейсом. Цена вопроса - тысяча монет. Походу, вся тамошняя охрана в доле, поскольку при финальном обходе у них всегда всё гладко. К тому же, они очень не хотели, чтобы я унёс эту бумажку. {предъявить записку} Это обнаруженная при осмотре личных шмоток записка Лёвы, на обратной стороне там список имён. Думаю, ты в курсе, что Кулибин сбежал, и с Брусом тоже муть приключилась. А Баклажан жив-здоров, и он всё рассказал. Сказал ему не отсвечивать и сразу на доклад к тебе. Как это болото зачищать будем? Считаю, надо давить гнид! <attention>"
0_p_brief_1_story_a,"{молчит с минуту, переваривая информацию} Что ж, весьма занимательно. Молодцом, Кабан, снова работаешь за десятерых. Я в твоих навыках и не сомневался, иначе не поручил бы столь деликатный вопрос. Что насчёт паровоза... я, конечно, об этом думал, но верить не хотелось. Лёву я несколько лет назад назначил, и с тех пор он тамошнюю охрану крепко держит, пользуется уважением у коллектива. Но всё-таки скрысился, значит. А крыс надо истреблять, чтобы другим неповадно было. <contempt>"
0_p_brief_2_plan_q,"И что, уже есть план по истреблению?"
0_p_brief_2_plan_a,"Значит так. Устроим показательную порку, чтобы другие долго вспоминали и не рыпались. Бери Гаврилу и Хомяка, будешь оприходовать паровозников на месте, просто так они всё равно не дадутся. Снарягу посерьёзнее возьми на складе, пригодится. Жду назад с отчётом об облаве."
0_p_brief_3_rifle_e,"{взять автомат \"Живодёр\"}"
0_p_brief_3_shotgun_e,"{взять дробовик \"Чучундра\"}"
0_p_brief_3_sniper_e,"{взять винтовку \"Полная Труба\"}"
0_p_brief_3_sword_e,"{взять катану}"
2____________________,"2____________________"
14a_Process.5,"Ни в коем случае! Я сам справлюсь. Как и всегда. {выход}"
14_Process.43,"Отлично. Что же, надеюсь, вы с Сухарём найдёте общий язык. Успехов. Всё, не отвлекай меня. На месте разберёшься. {Жмёт руку}"
13_Process.59,"{багровеет} Не обсуждать!!! Выполнять!!! Как же вы меня все сегодня #####ли, [censored] [censored]!!! <rage2>"
13_Process.15,"Я же вроде охранник, а не ищейка. <attention>"
11_Process.30,"{посмотреть на Гувера}"
10_Process.24,"Да пошёл ты. Думай что хочешь."
10_Process.13,"{Гувер сильно удивлён} Ты пререкаться со мной решил? <attention>"
9_Process.32,"Понятно."
9_Process.21,"Это яд. Мы таким крыс травим. "
8_Process.37,"Готов, без проблем."
6b_Process.27,"{подойти}"
5b_Sheet.4,"going_to_guver_with_goodwin_and_snowball"
5_Process.78,"{завершает плач, начинает приплясывать и дразниться} У Гувера проблемы! У Гувера проблемы! <smile4>"
5_Document,"Необходимо подумать - как можно использовать сложившуюся ситуацию для побега."
5_Process.12,"Расскажи уже - что произошло?"
2c_Process.169,"Блин, мне шантажом заниматься совесть не позволяет. Никогда такого не делал. Чувствую себя мразью. <attention>"
2c_Sheet.72,"going_to_guver_with_billybob"
2c_Process.28,"Клал я и на тебя, и на твои угрозы. Мне не нравится, когда со мной так обращаются, ясно? <edgy>"
2a_Process.152,"[выход]"
2a_Process.141,"Ни в коем случае. Он хотел, чтобы я показал, но я уже тогда понял, что надо бежать сюда."
2a_Process.130,"Понятно."
2a_Process.97,"А как же Толян - без электрика?"
2a_Process.42,"Потом меня начал подтягивать. Давай, говорит, ты электриком заделаешься, электросхему предприятия умыкнёшь, я увижу, где кабель питания проходит, ночкой тёмной его рубану - и тогда дело в шляпе!"
2_Process.87,"Давай, бычьё тупое. Подбегай на колотуху."
2_Process.43,"{морщится} Гаврила, уведи его. Этого - в обслугу. Чтобы знал, как оно бывает. <edgy>"
2_Process.21,"Статья - разбойное нападение, но на самом деле ни за что..."
2_Process.2,"[промолчать]"
2_Process,"{Гувер криво ухмыляется} О! А я-то думаю - что это так светло стало, откуда такое озарение снизошло? А это, оказывается, наш адский электрик после общения со знающим человеком вернулся. Что, судя по результатам экзамена, забыл кое-что из школьной программы? Ну, иди сюда, я тебя наэлектризовывать буду. Придам заряд в сотню киловатт. <smile5>"
1_Process.136,"Нормально живём. Но с электриком будет ещё лучше. Если не лох - можешь заняться."
1_Process.48,"Неуверенных в охрану не беру. Что ещё делать умеешь?"
14_Process.11,"Я с тобой обязан ещё одной проблемой поделиться. Тебе как раз по должности ею заниматься положено. {выдерживает паузу} Бегут с нашей промзоны, @hero. За последнее время смылись уже двое. С оружейного завода, понятно, никто уйти не может - он как сейф со всех сторон заперт. А вот на патронном - другое дело. Никаких заборов, никаких стенок, да ещё и железная дорога под боком. В общем, ситуация критическая. А ты ведь с недавних пор тоже к нашему делу причастен - стало быть, если кто-то опять смоется, тоже по шапке получишь. \n\nТребуется выяснить, через какую прореху они лезут. Может, на паровозе как-то отбывать ухитряются? Ни малейшего понятия. Он, паровоз, охраняется верным человеком, вроде не должно такого быть... В общем, надо разнюхать. Займись. Кроме тебя некому. Только одно условие запомни крепко - забираться на паровоз ни в коем случае нельзя. Машина дорогая, сложная, и ещё на ней особое заклятье лежит. Поэтому доступ к паровозу есть только у людей, которые непосредственно за него отвечают. Если пытается залезть кто-то ещё - значит, либо диверсант, либо удрать решил. Так что охране на этот случай дана чёткая команда - стрелять на поражение. Имей в виду."
12_Process.5,"Вот я уже и иду. А ты мне, что примечательно, мешаешь. <contempt>"
8a_Process.10,"А, ты про разведку у Волка."
8_Process.27,"Ладно, ладно. Готов."
8_Process.16,"Ты будешь назначен телохранителем Волка. Уволить тебя Волк не сможет, так как поставлю тебя лично я. Постарайся втереться к нему в доверие, расположить к себе - и внимательно наблюдай. Если удастся добыть что-то, вызывающее подозрения - сообщишь мне. Лично. Никаких посредников у нас с тобой не будет. Всё равно ты по должности обязан регулярно в мой кабинет заруливать - вот и будем с тобой беседы вести. Готовься приступать."
6b_Process.17,"Если не откроешь рот через пять секунд - лишишься последнего глаза. <contempt>"
6b_Process,"{заинтересованно} Ну, как результаты? {глядит на негров} Выявлены ли зачинщики? <attention>"
5d_Process.24,"{передать Снежка и Звонгендабу охране}"
5d_Process.13,"{Звонгендаба молча указывает пальцем на Снежка}"
5d_Process.7,"{Звонгендаба цедит сквозь зубы} Встретимся мы ещё с тобой, @hero... Ох, встретимся. Запомни меня хорошенько. <discontent>"
5c_Process.18,"Так точно."
5_Process.3,"{Гудвин слабо реагирует на эти восторженные крики. Он только кивает и вздыхает, тщательно изучая щели на полу.} <sadness>"
4_Process.18,"И что со мной будет, если я что-нибудь попорчу?"
2c_Sheet.73,"going_to_guver_with_moysha"
2c_Process.126,"Вот мне повезло! А чего ждём тогда?! Иди, [censored], и притащи мне эту [censored] бутылку! <attention>"
2a_Process.197,"Есть тут у вас некто Шуба. Я с ним в цеху грубой обработки познакомился. Так он меня полтора часа кряду насчёт этого мозги полоскал. Я уж и так, и сяк - нет, вцепился как клещ. Хочу, говорит, завод ночью обесточить, забор подломить, а потом как дёрну - только меня и видали! По-моему, больной он. Говорит, бежал уже два раза. Ты бы следил за ним, что ли."
2a_Process.175,"А шёл бы ты вместе с такой жизнью свинской к [censored] матери! <rage2>"
2a_Process.164,"Да по большому счёту - ничего. Я понял, что лучше будет всё тебе рассказать."
2a_Process.76,"Надо соглашаться, чего там."
2a_Process.65,"Нет, конечно. Что я, больной? Я же слово Толяну дал, что никому ничего показывать не буду."
2a_Process.43,"Во как! А ты что? <attention>"
2_Process.66,"Приступай прямо сейчас."
2_Process.33,"Да я вообще не хочу дубиной махать. Хлеборезом быть согласен, но сторожить кого-то - не мой профиль вообще."
2_Process.22,"У вас у всех \"ни за что\". Дело известное. Короче. Временно назначаю тебя на должность внутреннего охранника. Назначаю только по одной причине - людей не хватает. Понял? Стало быть, инструмент твой - вот он, держи {кладёт дубинку на стол}. Увижу, что прессуешь кого-нибудь без повода - пристрелю как собаку или направлю в литейку, причём уже навсегда. Вопросы есть?"
2_Process.3,"Ну, это..."
1b_Process.170,"Э, мужики, вам проблемы нужны, или что?"
1b_Process.44,"Как же ты утомил, @hero. Давненько мы, однако, никого на мясо людоедам не продавали. Что-нибудь ещё полезное делать умеешь? <attention>"
1b_Process.33,"Блин, что-то я передумал, по правде говоря. <reverie>"
1a_Sheet.4,"convoy_to_guver_after_lockup"
1_Process.148,"Договорились. Начинай пробовать. Гаврила, веди молодого к Толяну."
1_Process.16,"Промышленные масштабы нам тут ни к чему, пулемёта тебе пока не дадим. Держать в руках дубину и применять её по назначению способен?"
Q_Process.27,"Стало быть, они у вас так в шахте и сидят? Почему не арестуете? <attention>"
12_Process.6,"Ты не идёшь, ты уже пришёл. Путь твой на этом месте трагически оборвётся. Потому что ты мне начал мешать и вредить гораздо раньше, чем я тебе. И ущерб ты нанёс такой, что грохнуть тебя я теперь просто вынужден - иначе меня братва не поймёт. Можешь считать это вопросом сохранения репутации. Если сдашься добровольно - умрёшь без мук. Думай три секунды - у меня промзона без присмотра оставлена, я тороплюсь назад. <attention>"
11_Process.32,"{удивлённо глянуть на Гувера}"
8_Process.3,"Почему именно ко мне? <attention>"
6b_Process.29,"Дай слово, что пощадишь, хозяин! <fear>"
6b_Sheet.1,"going_to_guver_with_snowball_and_zvongendaba"
6_Process.10,"{глядя на Снежка} Давно ты мне не нравился. Как эта заваруха началась - я сразу понял, кто всему причиной. <contempt>"
5g_Process.38,"{жмёт тебе руку} @hero! от лица руководства предприятием объявляю тебе заслуженную благодарность. Имею предложить переход на более высокую должность - во внешнюю охрану. Толковых людей там, блин, ещё меньше, чем в охране внутренней. А нужны они там сильнее. Тут всегда так - если кому можно доверять, значит, он полный идиот. А если проблеск ума виден - стало быть, как назло, человек гнилой и хитрый. Так и живём. {погружается в раздумья}\n\n{Спохватывается, ударяет ладонью по столу.} В общем, поразмысли. Житься тебе станет намного лучше, в услужении ни у кого состоять не будешь. С другой стороны, и ответственность, конечно, выше - если кто сбежит с промзоны, или наоборот, внутрь без спросу заберётся... В общем, лучше этого не допускать, потому что дело будешь иметь лично со мной. Думай быстро, я вообще-то занят. "
5_Preparation.205,"Вернуть Гуверу его любимого, Гудвина"
5_Process.47,"{заметно испугавшись и прекратив кривляния, шепчет} Я не виноват, папинька. <sadness>"
5_Process.25,"Спроси у него самого - я в ваши дела лезть не собираюсь."
5_Process.14,"{Гудвин бормочет что-то невнятное себе под нос.} <sadness>"
3_Process.9,"Начальник склада просил водку передать."
2c_Sheet.74,"going_to_guver_with_homemade"
2c_Process.149,"{Гувер смотрит на тебя устало} А, опять этот. Да продайте вы его, надоело."
2c_Process.127,"Хорошо."
2c_Process.116,"Готов к искуплению?! Хорошо-то как. Аж полегчало мне. Ну так иди, выполняй, что тебе начальник велел. <attention>"
2a_Process.11,"Это я случайно. Не туда завернул."
2a_Process.231,"Ну что же, братан. Поступил ты правильно. Вот что я тебе скажу. Людей у нас мало, а таких толковых, как ты - практически нет. Особенно их не хватает в охране. А во внутренней охране умные отсутствуют вовсе, хе-хе. Поэтому я тебя переведу во внутреннюю охрану - чтобы порядок охранял. Конкретно - будешь охранять порядок вокруг меня. Должен будешь демонстрировать преданность и готовность стоять стеной. Ну?"
2a_Process.143,"А с чего это ты решил, что я тебе поверю? Может, всё-таки показал украдкой, а? {Гувер потягивается, меряет тебя  взглядом} Ладно, ладно, верные люди сообщают, что не прокололся ты, слова не нарушил."
2a_Process.132,"Решил что-нибудь? Идти в охрану есть желание?"
2a_Process.121,"Да ты, я смотрю, так и не въехал. Ну, иди сам поговори с ним - может, и поймёшь что-нибудь."
2a_Process.110,"Ты решил что-нибудь? Идти в охрану есть желание?"
2a_Process.99,"{Громко смеётся} Так и не понял? Дааа... Ну, сходи, поговори с ним - авось, прояснится что-нибудь. Я тебе портить удовольствие не стану. <smile5>"
2a_Process.88,"Договорились."
2a_Process.66,"Имею ряд вопросов."
2a_Process.33,"Ну, стал я, по приколу, электриком. Ты же помнишь. Прихожу к нему, а он мне командует - принеси-ка ты мне, @hero, патронов! Мы из этих патронов охранника при побеге убивать будем! Залезь-ка ты в наш сортир, и выуди из говна запрятанные туда кем-то патрончики! Ну и я типа понял, что мужик не шутит - и впрямь ноги сделать намерен!"
2a_Process.22,"Имею рассказать важное. Есть сведения, готовится побег."
2a_Process,"Так-так. @hero пожаловал, стало быть. Ну, давай, рассказывай - с чем пришёл?"
2_Process.78,"Ладно, ладно. Уломал. Буду работать в охране, проблем нет."
2_Process.45,"Э, ты чё? Ты серьёзно что ли? Погоди, за что?"
1b_Process.56,"Крысиный вопрос решается!"
1b_Process.23,"Отлично. Назначаю тебя во внутреннюю охрану. Будешь беречь порядок возле цеха грубой обработки. Стоишь, наблюдаешь, разнимаешь, контролируешь. Информируешь обо всём лично меня. Есть вопросы?"
1_Process.127,"Надо попытаться."
1_Process.116,"Блин, я на такое не рассчитывал! Погоди, погоди. Во мне неожиданно проснулось желание приносить пользу! <fear>"
Q_Sheet.32,"Dialog 4"
14_Process.13,"Всё понял."
14_Process.46,"{козырнуть}"
14_Process.35,"Нет, пока работаю. Намётки есть!"
13_Process,"Тут такое дело. Начальник патронного завода поделился - тащат, мол, с предприятия всё подряд. От инструментов до продукции. Там у него есть начальник охраны, кличка Пупырь, но пользы от него как от слона перьев. {повторить рассказ Сухаря} <smile5>"
9_Document,"Гувер утверждает, что не может предпринять мер против Волка, пока я не раздобуду какого-нибудь вещественного доказательства его злых умыслов."
9_Process.24,"Этот твой Волк - настоящая зверюга. Как ты рядом с ним живёшь - ума не приложу."
8a_Process.12,"Да, [censored], я про разведку у Волка. <attention>"
6b_Process.19,"{у Снежка трясутся губы} У меня... В шахте... Гудвин... <sadness>"
6_Process,"{смотрит заинтересованно} Ну, как результаты? {глядит на Снежка} Выявлены ли зачинщики?"
5f_Process.136,"{ухмыляется} Крайне ранимый паренёк. Ну, нам не привыкать. А ты молодец, @hero! Ходят слухи - зазомбировал ты черномазых очень качественно. <smile5>"
5d_Process.26,"{Снежок рушится на колени перед Гувером} Нечистый попутал. Всё скажу, во всём сознаюсь - только не губи! Тройную норму выдам, сильное колдунство на кирки наложу! <fear>"
5d_Process.15,"Снежок! Гудвин - моя собственность. Что он хочет, а чего не хочет - решаю лично я. {удивлённо} Слышь, @hero, а на фига ты скрутил этого бычару, если Гудвина уволок не он?"
5_Process.5,"{Гувер достаёт из стола другую бумажку, опять пишет в ней что-то, подаёт тебе.} \n\nНа бумажке написано:\n\n\"Статус - прикреплённый\nИмя - @hero\nНачальнику охраны ОЗ ВП Гуверу\n\nЗАЯВЛЕНИЕ\n\nПрошу принять меня с @date на должность внешнего охранника.\nОбязуюсь выполнять приказы начальства, блюсти субординацию и прилежно выполнять свои обязанности.\nГотов нести ответственность за свои действия согласно понятиям.\n\n@date                  ____________\""
2c_Preparation.119,"Надо пойти и разобраться с работягой по имени Конь. Убивать его не следует, но поколотить просто необходимо."
2c_Process.117,"Так точно."
2a_Process.276,"Сперва, говорит, принеси-ка ты мне, @hero, патронов! Мы из этих патронов охранника при побеге убивать будем! Залезь-ка ты в наш сортир, и выуди из говна запрятанные туда кем-то патрончики! Ну и я типа понял, что мужик не шутит - и впрямь ноги сделать намерен!"
2a_Process.221,"Сперва вопрос."
2a_Process.78,"Не знаю, что тут сказать... Подумать надо..."
2a_Process.56,"{Взгляд Гувера внезапно меняет выражение. Сейчас на тебя смотрит не лукавый рыхлый толстячок, а матёрый уголовник, жестокий, сильный и хитрый человек, лидер, явно утопивший в крови не один десяток разнокалиберных конкурентов. Это неожиданное перевоплощение застаёт тебя врасплох, и ты даже мимоходом жалеешь о том, что рассказал о своих контактах с Шубой} То есть - ты ему электросхему показал, что ли? <eyes_ScrewUp>"
2a_Process.34,"Есть тут у вас некто Шуба. Я с ним в карцере познакомился. Так он меня полтора часа кряду насчёт этого мозги полоскал. Я уж и так, и сяк - нет, вцепился как клещ. Хочу, говорит, завод ночью обесточить, забор подломить, а потом как дёрну - только меня и видали! По-моему, больной он. Говорит, бежал уже два раза. Ты бы следил за ним, что ли."
2a_Process.23,"Да ладно. Ну кому тут бежать? Разве что ты сам жизнью недоволен, хе-хе. <distrust>"
2_Process.57,"Ты мне, @hero, и так не нравишься, а когда херню порешь, я тебя начинаю ненавидеть. Резко и правдиво отвечай - за какие геройства сюда попал? <contempt>"
2_Process.35,"{глядит искоса} Изнасилование, стало быть?"
2_Process.13,"Да понятно всё, чего там говорить-то... <confusion>"
1_Process.106,"{вздыхает} Или у нас на заводе пашешь, или у людоедов на сковородке пляшешь. Выбирай."
1_Process.18,"Легко."
1_Process,"{Перед тобой человек рыхлого телосложения, невысокого роста, однако взгляд у него жёсткий и пристальный. Совершенно очевидно, что это местный лидер} Приветствую. Новый, стало быть. Имя. <attention>"
Q_Process.29,"Если ты арестуешь предводителя, он всерьёз рискует за время отсутствия потерять влияние в группе - пока его нет, обязательно найдётся замена. Это чревато разными неприятными последствиями, которые я предугадать не берусь. Но вообще-то человека, который более всех повинен в конфликте, изолировать необходимо. Поэтому тебя туда и отправляем. Надо разобраться в ситуации и выявить претендентов на устранение."
Q_Document,"Рассказ начальника охраны промзоны Гувера о конфликте между группировками негров в угольной шахте:\n\n\"Конфликт между неграми произошёл следующим образом. Недавно прибывшая на шахту группа работяг принадлежит к южным неграм, обитающим возле арийского города. Северные негры, живущие в деревне и в северном городе, вполне заслуженно считают южан предателями и арийскими холуями, а потому ненавидят. А ветераны у нас - именно северные и деревенские. Южные же негры считают всех остальных негров тупыми ограниченными лохами, тоже имея все основания для такого суждения. \nПоначалу этого обстоятельства не учли. Из новичков и опытных шахтёров сформировали две бригады, равномерно распределив по ним свежую рабочую силу. Однако это вместо ударного труда сразу же привело к жестоким конфликтам. В результате получился труп и несколько раненых. Тогда негров разделили на две бригады другим способом - северных в первую, южных во вторую.\nВторая бригада, несмотря на отменное здоровье и нерастраченные силы, оказалась неспособной к тому, чтобы выполнять план. Как ни надрывался Звонгендаба, всё равно результаты были далеки от запланированных. Кто-то пустил слух, что у первой бригады - волшебные кирки, заколдованные лично Снежком. Снежок не пытался отрицать этого факта, потому что действительно был самым авторитетным точильщиком кирок в первой бригаде, и считался колдуном. Вторая бригада работать без волшебных кирок не хотела, и однажды в полном составе прибыла в гости к первой для выяснения отношений. Снежок точить кирки южным категорически отказался, и завязалась драка, в результате которой все кирки у первой бригады были отобраны и поделены между людьми Звонгендабы. Воодушевлённые успехом, южные выдали тройную норму угля и окончательно уверовали в магическую силу Снежка. На следующий день вторая бригада тоже была на высоте, а вот дальше результаты пошли на спад, потому что магия кирок уже иссякала. Тогда конфликт перешёл в новую фазу - снежковцы держали оборону у себя в забое, а звонгендаберы пытались любым способом отбить у них кирку-другую. Работе при этом уделялось не самое главное значение. Администрация шахты пыталась решить конфликт, однако безуспешно. Тем временем свара переросла из производственной проблемы в проблему общей безопасности - негры не работали, а в основном дрались и лечили раны, и вообще ситуация грозила бунтом. Поэтому в дело вмешался я.\nСперва я хотел расстрелять Снежка, но мне начали рассказывать, что в забое всё только на нём и держится, что без Снежка никто вообще работать не будет, и тому подобное. Тогда я предложил расстрелять южных - всех или хотя бы через одного. Тут вообще поднялся вой до небес - мол, за них заплатили столько, что взвод баб купить можно. Самое плохое - заниматься мне этим совершенно некогда, у меня и тут дел по горло. Даю тебе все полномочия - главное, усмирить обезьян этих. Понял?\""
12_Process.8,"{передёрнуть затвор}"
11_Process.34,"{порадоваться, что не родился Снежком}"
9_Process.58,"Да нечего рассказывать. Так, просто уж шибко он выглядит стрёмно. Ладно, пойду - дел много."
9_Process.14,"{предъявить яд, выданный Волком} Угадай, что это? И ещё угадай, кто мне это что-то выдал."
8_Process.5,"Внимательно слушаю задание!"
6a_Process.6,"Перед тобой."
6_Sheet.1,"going_to_guver_with_snowball"
5_Process.49,"Согласен."
5_Process.27,"{Гудвин начинает рыдать, размазывая землю и уголь по щекам.} <crying>"
4_Process.70,"Рискни здоровьем."
2c_Sheet.10,"{Гувер смотрит на тебя устало} У тебя месячные что ли? Ты будешь наконец работой заниматься, или проще тебе прямо сейчас шею свернуть? У меня нет времени с тобой псалмы петь. Если прямо сейчас буянить навсегда не перестанешь, пойдёшь в расход. Задрал. Быстро говори - готов нормально трудиться или не готов, да или нет. Считаю до трёх. Два. Два с половиной."
2c_Process.129,"Я что, посыльный какой-то - бутылки с пойлом таскать? Что у вас за паразит складом заведует, неспособный сам два шага сделать? <attention>"
2a_Process.244,"Потом меня начал подтягивать. Давай, говорит, раз ты электрик, электросхему предприятия умыкнёшь, я погляжу, где кабель питания проходит, ночкой тёмной его рубану - и тогда дело в шляпе!"
2a_Process.200,"Да в общем-то всё уже сказал."
2a_Process.167,"Ну и дурак. А мог бы жить. Гаврила и Хомяк! Подскочите, возьмите нашего беглеца. Примените по назначению."
2a_Process.145,"Какие такие \"верные люди\"? Всё было известно, что ли??? <fear>"
2a_Process.68,"Ну, давай её сюда. Потерял, что ли? Скотина тупая. Гаврила и Хомяк! Дебила - на мясо. "
2a_Process.8,"Как я поварёшкой доставал из сортира патроны - даже и рассказать не решаюсь. Сильнейшие впечатления, отпечаток на всю жизнь. Сразу понял, что электриком стал не зря. Но - добыл. Приволок. Сволочь эта обрадовалась вроде. И говорит - ну, теперь дело только за электросхемой! Тащи электросхему, и уходим! <smile5>"
2a_Process.46,"И то правда - интересно! Даже мне интересно стало. Ты продолжай, не стесняйся."
2a_Process.35,"Интересно как. А что дальше было? <attention>"
2_Sheet.89,"convoy_to_guver_from_toljan"
2_Process.69,"Есть."
2_Process.47,"[промолчать]"
2_Process.25,"Когда приступать?"
2_Process.6,"{багровеет, орёт} Что, мать твою, \"ну это\"? Ты меня перебивать будешь, бычара ты дойный? Да, именно \"ну это\"! Ты, [censored], решил всех нас тупо [censored]? Думал - мы лохов держим, которые не способны отличить специалиста от тебя, идиота? Ты чё, баран, поляну вообще не видишь? Я тебе наколку дам - здесь идиотов нет, кроме тебя. Тупость свою осознаёшь, нет? Или и на такое не способен? <rage2>"
1b_Process.25,"Вопросов нет, готов приступать."
1_Process.19,"[промолчать]"
1_Process.118,"Хорошо тебя понимаю. Что ж, начнём наше общение с чистого листа. \nПривет, @hero. Что делать умеешь?"
Q_Process.90,"Неужто это помогло?"
12_Process.30,"{поднять руки и сдаться Гуверу}"
11_Process.13,"Хана Волку. И впрямь на электростанции окопался, урод. Пришлось силу применить. Ну да мне не привыкать, хе-хе. <smile5>"
