STRID,LOC,STR,AGI,CON,INT,CHA,PER,AGE,SEX,HGT,LEV,PARTY,TAG1,TAG2,TRAIT1,TRAIT2,HP,SP,AC,SMG,BIGG,NRG,THROW,MELEE,SCOUT,REP,MED,THIEF,BAR,TAG1,TAG2,MONEY,ITEMS,HAND,MODEL,RACE,TATOO,HEAD,HEAD_SPECIAL,HEAD_OVERWRITE,CANT_LOOT,NAME1,NAME2
train_witness,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,CIGARETTE,GANJA",,man,white1,,whiteslave9,,whiteslave9,,,Внешний охранник
train_escapee,prodzone_entry,8,8,7,8,8,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,,,,,,"ROBE.G,ROBE_TROUSERS.R,BOOTS_COLONIST.R,BREAD,CARROT,BLEVANTON,SPOTTEDBLEVANTON",,man,white1,,lace,,lace,,,Баклажан
train_bully,prodzone_entry,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_COLONIST.R,BREAD,FAST_DIVING,CIGARETTE,HATCHET",,man,white1,,crowbar,,crowbar,,,Пиявка
train_bully_pal_1,prodzone_entry,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_COLONIST.R,BREAD,MEAT,BLEVANTON,CLUB",,man,white2,,whiteslave7,,,,,Внешний охранник
train_bully_pal_2,prodzone_entry,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_COLONIST.R,VODKA,POTATOES,CLUB",,man,white1,,whiteslave2,,,,,Внешний охранник
train_gabriel,prodzone_farm_mine,8,8,9,8,30,8,8,,190,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.R,BOOTS_FOOTMAN.R",,man,white1,,gabriel,,gabriel,,,Гаврила
train_ambush_wave01_guard01,prodzone_dep_ammo,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEDIKIT_1,HATCHET",,man,white1,,whiteslave3,,,,,Охранник паровоза
train_ambush_wave01_guard02,prodzone_dep_ammo,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,KVAS,VODKA,CLUB",,man,white1,,whiteslave,,,,,Охранник паровоза
train_ambush_wave01_guard03,prodzone_dep_ammo,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,BREAD,CLUB",,man,white1,,whiteslave2,,,,,Охранник паровоза
train_ambush_wave01_guard04,prodzone_dep_ammo,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,AMMO_6MM:10,POTATOES,POTATOES,POTATOES,PISTOL_STUPID",,man,white2,,whiteslave4,,,,,Охранник паровоза
train_ambush_wave02_guard02,prodzone_dep_ammo,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,BREAD,CARROT",HATCHET,man,white2,,whiteslave7,,,,,Охранник паровоза
train_ambush_wave02_guard03,prodzone_dep_ammo,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,KVAS,FAST_DIVING",CLUB,man,white1,,whiteslave5,,,,,Охранник паровоза
train_ambush_wave02_guard04,prodzone_dep_ammo,8,8,6,8,30,8,8,,165,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,AMMO_6MM:20",SMG_RAT_PROMZONE_GUARD,man,white1,,whiteslave8,,,,,Охранник паровоза
train_ambush_wave02_elbrus,prodzone_dep_ammo,8,8,10,8,30,8,8,,210,10,,,,,,,,,20,20,,20,90,,,,200,,,,,"ROBE_TROUSERS.B,BOOTS_LANDROVER.R,DODGER,CIGARETTE,MEAT,MEAT,MEAT,MEAT,MEAT,MEAT,HAMMER",,man,black2,,blackslave6,,,,,Эльбрус
train_showdown_dead_guard01,prodzone_farm_mine,8,8,8,8,30,8,8,,180,0,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,CIGARETTE,GANJA",,man,white1,,whiteslave9,,,,,Мёртвый охранник
train_showdown_wave01_worker01,prodzone_farm_mine,8,8,8,8,30,8,8,,185,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"BANDANA.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,MEAT,CARROT,FAST_DIVING,WILDGANJA",HAMMER,man,white1,,whiteslave,,,1,,Мятежный рабочий
train_showdown_wave01_worker02,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,ROBE.G,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,WOOL_CORN,GANJA,VODKA,MEDIKIT_1,AMMO_16GA:20,HATCHET",SHOTGUN_PENCIL,man,white1,,whiteslave2,,,1,,Мятежный рабочий
train_showdown_wave01_worker03,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE.G,ROBE_TROUSERS.R,BOOTS_COLONIST.R,MEAT,WOOL_CORN,CARROT,GANJA",HATCHET,man,white2,,whiteslave4,,,1,,Мятежный рабочий
train_showdown_wave01_worker04,prodzone_farm_mine,8,8,6,8,30,8,8,,165,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_LIGHT_BODYARMOR.R,CAMOUFLAGE_SHIRT.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,BREAD,CARROT,KVAS,AMMO_6MM:20,HATCHET",PISTOL_STUPID,man,white1,,whiteslave6,,,1,,Мятежный рабочий
train_showdown_wave01_worker05,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,ROBE.G,ROBE_TROUSERS.R,BOOTS_COLONIST.R,POTATOES,CARROT,SPOTTEDBLEVANTON,TOADSTOOL,AMMO_16GA:20,HATCHET",SHOTGUN_FRIEND,man,white1,,whiteslave5,,,1,,Мятежный рабочий
train_showdown_wave01_guard01,prodzone_farm_mine,8,8,8,8,30,8,8,,180,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_STUDDED_LEATHER_JACKET.R,CAMOUFLAGE_SHIRT.B,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,BREAD,POTATOES,CIGARETTE,AMMO_6MM:20,HATCHET",RIFLE_PIPE,man,white1,,whiteslave9,,,1,,Мятежный охранник
train_showdown_wave01_guard02,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.R,TRAIN_FAKE_LIGHT_BODYARMOR.R,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEAT,BLEVANTON,GANJA,VODKA,AMMO_6MM:20,HATCHET",SMG_RAT_PROMZONE_GUARD,man,white1,,whiteslave8,,,1,,Мятежный охранник
train_showdown_wave01_guard03,prodzone_farm_mine,8,8,8,8,30,8,8,,185,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,ROBE_BLACK.G,TRAIN_FAKE_IRON_CHAINMAIL.R,TRAIN_FAKE_STUDDED_LEATHER_TROUSERS.G,BOOTS_LANDROVER.R,MEAT,POTATOES,WOOL_CORN,WILDGANJA,VODKA,AMMO_6MM:20,HATCHET",RIFLE_KNACKER,man,white1,,whiteslave3,,,1,,Мятежный охранник
train_showdown_wave01_guard04,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_BLACK.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,FAST_DIVING,TOADSTOOLBLUE,GANJA,AMMO_6MM:20,HATCHET",PISTOL_STUPID,man,white2,,whiteslave4,,,1,,Мятежный охранник
train_showdown_wave01_guard05,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"TRAIN_FAKE_HELMET.G,TRAIN_FAKE_STUDDED_LEATHER_JACKET.G,CAMOUFLAGE_SHIRT.G,ROBE_TROUSERS.B,BOOTS_LANDROVER.R,MEAT,WOOL_CORN,BLEVANTON,SPOTTEDBLEVANTON,AMMO_6MM:20,HATCHET,SMG_RAT_PROMZONE_GUARD",POISON_GRENADE,man,white2,,whiteslave7,,,1,,Мятежный охранник
train_showdown_wave02_worker01,prodzone_farm_mine,8,8,7,8,30,8,8,,170,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"BANDANA.B,ROBE.G,ROBE_TROUSERS.R,BOOTS_COLONIST.R,WOOL_CORN,CARROT,SPOTTEDBLEVANTON,WILDGANJA,KVAS,AMMO_12GA:20,HATCHET",REVOLVER_BUTCHER,man,black2,,blackslave2,,,1,,Мятежный рабочий
train_showdown_wave02_worker02,prodzone_farm_mine,8,8,8,8,30,8,8,,185,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"ROBE_TROUSERS.R,BOOTS_COLONIST.R,MEAT,WOOL_CORN,BLEVANTON,FAST_DIVING,VODKA",PICK,man,black1,,blackslave3,,,1,,Мятежный рабочий
train_showdown_wave02_worker03,prodzone_farm_mine,8,8,7,8,30,8,8,,175,10,,,,,,,,,20,20,,20,50,,,,200,,,,,"BASEBALL_CAP.R,TRAIN_FAKE_LIGHT_BODYARMOR.R,TRAIN_FAKE_IRON_CHAINMAIL.R,ROBE_TROUSERS.R,BOOTS_COLONIST.R,BREAD,POTATOES,CARROT,TOADSTOOLBLUE,GANJA,AMMO_16GA:20,HATCHET",SHOTGUN_PENCIL,man,black1,,blackslave7,,,1,,Мятежный рабочий
