STRID,TEXT
1____________________,"1____________________"
0_p_alert_0_desc_a,"{к тебе подбегает запыхавшийся боров; физиономия, откормленная усиленным питанием, перекошена гневом} [censored], третий за месяц! Откуда вы лезете, суки?! {переведя дух} Значит так, дружок, понятными тебе словами - хенде хох и рассказываешь, как к нам залез и что вынюхал, ферштейн? <rage2>"
0_p_alert_1_explain_q,"Ты чё такой импульсивный, дядя? В школе часто били? Никакой я не шпион, наоборот - начальник охраны на патронном. Ответишь на вопросы и я забуду, какой херни ты наговорил. <discontent>"
0_p_alert_1_explain_a_guver,"{от неожиданного расклада сбавил напор, но не растерялся} Так уважаемый, с какого перепугу ты мне допрос устраиваешь? Я тебе шестёрка, что ли? У паровоза отдельный наряд охраны. Парни отвечают передо мной, а я отвечаю напрямую перед Гувером. <distrust>"
0_p_alert_1_explain_a_wolf,"{от неожиданного расклада сбавил напор, но не растерялся} Так уважаемый, с какого перепугу ты мне допрос устраиваешь? Я тебе шестёрка, что ли? У паровоза отдельный наряд охраны. Парни отвечают передо мной, а я отвечаю напрямую перед Волком. <distrust>"
0_p_alert_2_from_q,"Я как раз от него. Получил приказ расследовать побеги. Заставь меня поверить в то, что бегут не паровозом. Будешь дальше палки в колёса вставлять или как?"
0_p_alert_2_from_a_guver,"{сплёвывает} Ну, раз от Гувера - лады, вопрошай свои вопросы, буду отвечать ответы. Гувера я уважаю. <smile2>"
0_p_alert_2_from_a_wolf,"{сплёвывает} Ну, раз от Волка - лады, вопрошай свои вопросы, буду отвечать ответы. Волка я уважаю. <smile2>"
0_p_alert_1_attack_e,"Для тупоголовых: я не шпион, а угонщик! {дать в рыло}"
2____________________,"2____________________"
0_p_alert_ask_1_horn_q,"Что можешь рассказать про Гудка?"
0_p_alert_ask_1_horn_a,"Машинист, механик и сторож в одном лице. Пару лет назад приковали его к паровозу, а то постоянно норовил сбежать, гнида. {зыркает на Гудка, тот поникает} Короче, старче хоть и знает своё дело, но проблемный больно - надо бы заменять, да подходящего человечка всё нема. <contempt>"
0_p_alert_ask_1_rails_q,"Куда ведут рельсы? Есть ли развязки?"
0_p_alert_ask_1_rails_a,"Дорога одна, на Северный - прямая, как разрез в жопе, хе-хе. Раз в неделю курсируем туда-обратно. <smile2>"
0_p_alert_ask_1_spies_q,"На промзоне бывают шпионы? За чем шпионят хоть?"
0_p_alert_ask_1_spies_a,"Так есть за чем - масштабы производства, количество охраны, наработки новых стволов, в конце концов... На паровоз тоже часто лезут - хрен знает, чего в этом ржавом корыте интересного, но оно будто мёдом намазано, блин."
0_p_alert_ask_1_cargo_q,"Какой груз возите? Догадываюсь, что уголь, патроны и стволы. Что-то ещё?"
0_p_alert_ask_1_cargo_a,"Экий ты догадливый. Из Северного привозим жратву и прочие расходники, туда отвозим готовую продукцию. Ну и уголь, да. Только вот выхлоп по углю в последнее время никчёмный. [censored] негры вместо того, чтобы вкалывать, страдают хернёй. <edgy>"
0_p_alert_ask_2_mine_q,"Негрильный вопрос я порешал. Вскоре шахта должна заработать с утроенной силой!!! <smile5>"
0_p_alert_ask_2_mine_a,"{ржёт} Прыткий ты, однако! И тут, и там поспеваешь. Давно пора было с этим разобраться. <laughter>"
0_p_alert_ask_1_peace_e,"Ладно, пойду осмотрю вашего железного коня. Залезать не буду, не боись. {выход}"
3____________________,"3____________________"
0_p_search_0_hurry_a,"{нетерпеливо} Как там твой осмотр? Долго ещё по округе шататься собираешься? <attention>"
0_p_search_1_patience_e,"Практикуй терпение! Скоро закончу. {выход}"
4____________________,"4____________________"
0_p_gloat_0_sup_a,"{явно доволен собой} Ну что скажешь, начальничек? Дошло наконец, что у нас всё шито-крыто? <smile2>"
0_p_gloat_1_suspect_e,"{солгать, понимая, что охрана может быть замешана в побегах} Придраться не к чему, не спорю. Я закончил. {выход}"
5____________________,"5____________________"
0_p_ambient_0_why_a,"{хмурится} Ну, чё шастаешь вокруг да около? Я думал, мы закончили с проверками? <attention>"
0_p_ambient_1_walk_e,"Да вот хожу-брожу, вдохновение ищу. {выход}"
6____________________,"6____________________"
0_p_raid_0_hello_a_guver,"{подозрительно радостный} Ну привет, начальничек! {бросает взгляд на твоих напарников} Привет, Гаврила, Хома! Пришли меня заарестовывать? {снова смотрит тебе в глаза} Чё, думал, я совсем идиот? Благо, глаза и уши у меня на правильных местах! Знаю, что ты украл мою записку, нашёл Баклажана и успел сбегать на ковёр к Гуверу, как послушная псинка. Но это уже неважно, ведь ситуация разворачивается преблагоприятно для меня и преотвратительно для вас! <smile2>"
0_p_raid_0_hello_a_wolf,"{подозрительно радостный} Ну привет, начальничек! {бросает взгляд на твоих напарников} Привет, Гаврила, Хома! Пришли меня заарестовывать? {снова смотрит тебе в глаза} Чё, думал, я совсем идиот? Благо, глаза и уши у меня на правильных местах! Знаю, что ты украл мою записку, нашёл Баклажана и успел сбегать на ковёр к Волку, как послушная псинка. Но это уже неважно, ведь ситуация разворачивается преблагоприятно для меня и преотвратительно для вас! <smile2>"
0_p_raid_1_wtf_q,"{кивнуть на труп у паровоза} Что за жмур на рельсах? Чё за фигню ты тут устроил? Я-то хотел из добрых побуждений замочить тебя быстро, но, видимо, уже не получится... <attention>"
0_p_raid_1_wtf_a,"{усмехается} Ха! Только ты кой-чего путаешь: усиленно будут мочить тебя, не меня!!! Что насчёт жмура... этот дотошный тип совался туда, куда не следовало. Сердечное спасибо ему за винтовку, кстати! <laughter>"
0_p_raid_2_who_q,"Кто мочить-то будет, если не секрет? После того, как твои быки в казармах добычились, от охраны паровоза осталось полторы калеки максимум."
0_p_raid_2_who_a,"Понимаешь, имея инфу о том, что нас придут гасить, мы на заднице тоже не сидели. Пока вы мяли сиськи, строя коварные планы и мотаясь до склада, мы ведь тоже смотались - силой! А потом раздали снарягу всем, кто хочет рвать отсюда когти. {делает паузу и лыбится от успешной многоходовочки} Только сначала череп тебе раскроим за сгинувшую в казармах братву, а там и паровоз прогреется! {внезапно разворачивается и бежит в сторону депо} <smile2>"
0_p_raid_3_coward_e,"Куда дёру дал, ссыкуха?! Будешь прятаться в сортире? {приготовиться к сюрпризам}"
7____________________,"7____________________"
