STRID,TEXT
3b_Process.5,"Пока только хожу, гляжу во все щели и думы думаю. Разберёмся, не горюй. <attention>"
2_Process,"Понял. {выход}"
1_Process.48,"Ты, блин, расскажешь толком, или так и будешь ныть, пока я тебе в табло не просуну? <contempt>"
1_Process.15,"{сварливо} До тебя была невыносимая, а теперь - совсем тошно. Чем больше чёрных роб, тем меньше порядка. Где вас только таких инкубируют, недоумков. <disgust2>"
2_Process.55,"{злобно} Да у них из-под носа тащат всё, что к полу не прикручено! Уроды тряпошные. Раньше у нас Бубен был главный по охране завода - хоть какой-то порядок держал. Потом его перевели на охрану главных ворот - и кранты. Назначили этого барана Пупыря. На второй же день пропал комплект инструментов. Без следа, все молчат как рыбы. Потом стали замечать недостачу свинца - небольшую, но регулярно. Пупырю говоришь - у него ответ один: больше не повторится, я ситуацию контролирую. И через несколько дней - обратно то же самое, упёрли что-нибудь. Я всё понимаю, контингент непростой - все жить умеют, все на воле серьёзные дела делали. Нелегко таких контролировать. Но их же всех обыскивают каждый день, на входе и на выходе! А споймать никого так и не смогли. Нельзя так бездарно свои обязанности исполнять, блин! Я бы его уже раз двадцать выпнул, Пупыря этого, да у начальничка нашего людишки иссякли, не даёт замену. Ну и вот, результат - позавчера ночью целый ящик готовых патронов с завода ушёл. Двадцать одна тысяча штук, @hero!!! Ты хоть числа-то такие знаешь?! Рехнуться можно! Огромный ящик, весит сто шестьдесят кило! УНЕСЛИ!!! Как такое возможно?! На посту стоял подручный Пупыря, Буба. И хотя этот урод каким-то образом заметил кражу, он - держись крепче - не смог никого догнать! Мы здесь на запертой территории, похитители волокли груз в полтора центнера, а люди Пупыря не сумели их изловить! Его не в охрану - его к неграм в шахту надо отправить, чтобы научили уму-разуму. А лучше сразу в сортир бросить. {вдруг бешено сверкает глазами} Слушай! Ты вроде на рыло-то повменяемее Пупыря смотришься - не хочешь на местной охране стоять?"
1_Process.49,"Кого вялить собрался, и за какие заслуги? <attention>"
1_Process.38,"{глядит опасливо} Дался ты мне, провокатор хренов. Я про вообще. Ну, пока Гувер у руля - фиг чего изменится. Так и буду от этих ослов зависеть  до самой погибели."
2a_Process,"Ну привет, @hero. Думаю, ты уже принял решение насчёт того, чтобы встать заместо Пупыря. <smile2>"
2_Document,"Начальник патронного завода Сухарь рассказал мне, что на заводе происходит расхищение материальных ценностей, а охрана предприятия не в состоянии контролировать ситуацию. Сухарь крайне недоволен начальником охраны патронного завода, Пупырём. Агитирует меня занять его место."
3b_Process,"А, @hero! Ну, расскажи - как дело про беглецов движется? Как же они всё-таки драпают, мрази?"
2_Sheet.55,"От шефа получено указание разобраться в вашей нелепой ситуации. Работа по Пупырю уже ведётся. {выход}"
2_Process.46,"Мне надо посоветоваться с шефом. {отправиться к Волку за консультацией}"
1_Process.29,"Острить в морге будешь. Излагай конкретно, что и как. <attention>"
1_Sheet.16,"Охрана Сухаря нападает на Кабана"
1_Process,"{Ты видишь худого, жилистого человека средних лет. Выражение лица злобное. Весь в наколках.} Прибылой, что ли? В эшелоне дармоедов пополнение? Чё сюда припёрся? Как зовут, почему не знаю?! <disgust1>"
2_Process.14,"Хочу с твоим Пупырём мальца перетереть. Где его найти можно?"
2_Sheet.13,"dialog 1"
3a_Process.5,"Вашими молитвами, уважаемый Сухарь! Кражи патронов, как видите, внезапно прекратились. {выход}"
3_Process.11,"Тогда я с тобой обязан ещё одной проблемой поделиться. Тебе как раз по должности ею заниматься положено. {выдерживает паузу} Бегут с нашей промзоны, @hero. За последнее время смылись уже двое. С оружейного завода, понятно, никто уйти не может - он как сейф со всех сторон заперт. А вот на патронном - другое дело. Никаких заборов, никаких стенок, да ещё и железная дорога под боком. В общем, ситуация критическая. А ты ведь с недавних пор тоже к нашему делу причастен - стало быть, если кто-то опять смоется, тоже по шапке получишь. \n\nТребуется выяснить, через какую прореху они лезут. Может, на паровозе как-то отбывать ухитряются? Ни малейшего понятия. Он, паровоз, охраняется верным человеком, вроде не должно такого быть... В общем, надо разнюхать. Займись. Кроме тебя некому. Только одно условие запомни крепко - забираться на паровоз ни в коем случае нельзя. Машина дорогая, сложная, и ещё на ней особое заклятье лежит. Поэтому доступ к паровозу есть только у людей, которые непосредственно за него отвечают. Если пытается залезть кто-то ещё - значит, либо диверсант, либо удрать решил. Так что охране на этот случай дана чёткая команда - стрелять на поражение. Имей в виду."
3a_Process,"Приветствую, уважаемый @hero! Как житьё-бытьё?"
3_Process.23,"Надеюсь на плодотворное сотрудничество! {выход}"
3_Document,"Начальник промзоны Гувер рассказал мне, что за последнее время с территории промзоны бесследно скрылись как минимум двое. Метод побега Гуверу неясен, однако он предполагает что, вероятнее всего, беглецы каким-то образом использовали в своих целях паровоз. Я теперь отвечаю за охрану патронного завода, так что в случае, если побеги не прекратятся, мне придётся как-то отчитываться перед Гувером.\n\nНа паровоз забираться ни в коем случае нельзя - охрана сразу бьёт на поражение."
3_Sheet.22,"dialog 2"
3_Process.13,"Принял к сведению."
2_Process.18,"Он в здании казармы внешней охраны сидит, кабинет у него там. Пока что. Казарма охраны - рядом с нашим заводом, ни с чем не спутаешь. <attention>"
1_Process.42,"{глядит опасливо} Дался ты мне, провокатор хренов. Я про вообще. Надеялся, что хоть с приходом Волка что-то изменится - ан фиг! Так и буду от этих ослов зависеть до самой погибели."
1_Process.31,"Давай, на мне потренируйся для начала. Ну, чтобы слов на ветер не бросать. Не стесняйся, подбегай. <edgy>"
1_Process.7,"Зовут @hero. Назначен внешним охранником. Прибыл узнать обстановку. <attention>"
2_Process.60,"Нет уж, на такое я не согласный - без обид. Несунов укрощать -  мечта не моего детства."
3_Process,"Уже за меня подумали. Определён на должность безвременно усопшего любителя тяжёлых ящиков. Будем трудиться вместе, сбылись твои чаянья. <smile5>"
2_Document.24,"Начальника охраны патронного завода Пупыря можно отыскать в здании казармы внешней охраны. У него там служебный кабинет."
1_Process.33,"Легче сказать - что у вас, \"охранничков\" по уму. Вот робы у вас чёрные, будто у приличных людей. И рожи  страшные, как положено. А больше вас хвалить, увы, не за что. Не за что, @hero!!! Как службу несёте - это ж матов не хватает! Я бы вас всех давно за причинные места подвесил, нахлебников. От вяленых больше пользы бы получилось. <contempt>"
1_Process.11,"Не твоё дело, тупорылый. А за слова свои козлиные ещё ответишь. {развернуться и уйти}"
1_Process.9,"Слышь, дядя, давай-ка общаться культурно. Я тебе не мальчик, могу и в бубен закатать. Ты, главное, вякни ещё что-нибудь борзое. <rage2>"
3_Process.19,"Пока нет. Это я так, поздороваться. Пойду, кабинет обживу, устроюсь - снова заскочу."
3_Process.5,"В общем, да. <attention>"
3_Process.6,"{смотрит в пол} Как говорится, тащи с завода каждый гвоздь - ты здесь хозяин, а не гость. Стало быть, это сам Пупырь с завода тянул. Я подозревал, конечно, но верилось с трудом - он был по виду скорее дурак, чем хитрый несун. Хотя если несун будет выглядеть как несун - чёрта с два он что-нибудь утащит, хе-хе. {задумывается} Что ж, это просто здорово. Поздравляю с повышением. {жмёт руку}"
2_Process.20,"Мне надо посоветоваться с шефом. {отправиться к Гуверу за консультацией}"
