STRID,TEXT
5_Process.45,"Далее. В этом районе {указывает район на карте} находится ущелье, в котором лежит несколько капсул. Капсулы наподобие тех, в которых на планету упали мы с тобой. В капсулах - ща упадёшь - вроде как настоящие бабы. Если я конечно ничего не перепутал, хе-хе. Больше вроде как никого нет. Точнее, не было, когда я это место заприметил. Но это не повод расслаблять очко - лучше будет перед визитом в эту местность вооружиться как следует."
5_Process.23,"Ага."
5_Document,"Курсант Угрюмый говорит, что курсант Демон скорее всего находится в арийских застенках. "
5_Process.13,"Слышь, @hero! Я вроде как голый, а без нормального пистолета и ножа - считай, дважды голый. Не знаю, как лучше сказать. Ничего нормального на этой планете нет и быть не может, но надо бы добыть хоть что-нибудь. Я тут бродил по окрестностям - набрёл на несколько мест. Там живут люди, у которых много лишних вещей. Добытых, я полагаю, неправедным путём. Погляди на карту - покажу, где. {делает пометки на карте}"
5_Process.3,"Вашими молитвами. Рассказывай - как дошёл до жизни такой? <attention>"
5_Process.25,"Здесь {опять тыкает пальцем в карту} - бандитский поселок. Большое постоянное укрепленное поселение каких-то проходимцев в дикой лесной местности. Много маленьких хибар. Забор. Ну, против нас он не поможет. Думаю, надо бы пощипать этих мутантов! Правда, боюсь они будут против."
5_Process.5,"Ну, высадились. Нас с Демоном сразу куда-то поволокли. Волокли целый местный день. Ночью они на привал встали, и мы тут же  смылись, решили ни на кого не горбатиться. Порасспросили у местных, двинули на юг - говорят, там какой-то серьёзный город есть. Я Демону говорил - давай на север, с резидентом встречаться! А он - ни в какую. Меня, говорит, чутьё ведёт. Шли, но не дошли. Демон в какой-то деревушке решил провианту добыть, забрался в хлев, где они этих клыкастых тварей держат, да неудачно - шум поднял. Скотина в хлеву - непонятная, и реагирует она непонятно. А на шум как по заказу из изб целая орда арийцев выскочила. Повязали нашего Демона, в общем. Это у него чутьё так работает. Я сперва за ними шёл, дошёл до крепости на юге и побежал обратно - в город, который на севере. Одному там не справиться. Тут вышел на Черныша. Он мне пару заданий выдал - например, Сковородку пристукнуть. К чему были эти задания и как они помогают нашей миссии я, правда, не понял. Всё шло нормально, пока я не решил с местными девками познакомиться. Есть такое заведение - \"Бешеные Сиськи\". Бывал? <attention>"
1_Process,"{шепчет} Сковородку этого пристукнул я, когда он по трущобам возле пакгауза шастал. Маньяк был ещё тот, говорят - обожал жертв по горячим углям валять и руки-ноги отрубать. Хотя для здешних мест - считай, нормальный человек. Здоровый был, зверюга, применял ментальные удары - чуть все мозги мне не выел, пока я его душил. Задание по устранению Сковородки я получил, кстати, от резидента по имени Черныш - думаю, ты с ним знаком. При Сковородке обнаружился фонарик, но он был сломанный и я его выкинул прямо там. Может, это тот фонарик и есть."
5_Process.38,"Кстати, я с местными стволами что-то не в ладах. Уж больно они топорно сделаны. Ни целкости, ни надёжности. Надо потренироваться, что ли. Тренироваться предлагаю на местной живности - зверья на планете просто как грязи. Видел неплохие угодья вот здесь {указывает} и здесь. На первом - пауки какие-то, и ещё твари, похожие на свиней. На втором - местных тушканов много, и какие-то монстры, похожие и на крысу, и на волка сразу. Короче, будет весело, я охоту люблю."
5_Process.27,"Добротное оружие и мне бы не помешало. Давай сгоняем по-быстрому, окропим землю красненьким."
5_Sheet.36,"Exit_sullen"
5_Process.6,"И чё там?"
5_Process.28,"Силён ты всё замечать!"
5_Process.17,"Здесь {показывает пальцем} я видел много посадочных капсул сразу. Их растаскивают на металл какие-то желатины. Не выглядят нищими. Охрана - не чересчур, против нас не выстоят. Полагаю, есть шанс неплохо нажиться, хотя просто так никто ничего не отдаст."
1_Sheet.1,"dialog mirza3"
5_Process.29,"Маскировка и наблюдение - как раз мой профиль. Слухай дальше. Вот тут - яма большая в горах. Скорее, даже каньон. Вокруг мега-ямы небольшое поселение неизвестных мне уродов - видать, перевалочная база. А на перевалочной базе наверняка и нам найдётся что-нибудь... для перевалки. Оружие добротное, к примеру. Опасаюсь, забирать оружие придётся силой оружия - нашего дара убеждения не хватит, чтобы нам его подарили."
5_Process.18,"Так-так! Интересно!"
5_Process.9,"\"Познакомился\", в натуре. Ну, повеселились мы конечно от души. Она два раза сбежать хотела, но от меня не особо убежишь. А потом, тварь, мне вколола что-то - я и вырубился. Очнулся в халупе этого кулька с говном. {кивает на Мирзу; Мирза прячется за охранником}. Он меня хотел заставить мешки таскать, плитку класть и стены сверлить. Было круто! Бегал Мирза от меня и по мешкам, и по плитке, и по стенам. Потом я от него почти что убежал. Скрутили впятером, мрази. Ну и, понятно, сюда выставили. А я как раз этого и добивался - знал наверняка, что кто-нибудь из вас здесь проходить будет. "
5_Process,"{тычет кулаком тебе в грудь} Приветствую, военный! Как ты в целом? <smile5>"
4_Process.5,"Идём к Чернышу на доклад, короче."
4_Process,"{боец Угрюмый сияет как параша, будто изо всех сил стараясь опровергнуть своё прозвище} Докладаю обстановку, парни. Мы его нашли. Большущая штуковина, до фига выше деревьев. Всё в строительных лесах, но я сразу понял - ракету замышляют. Натащили обломков капсул - наверно, со всей планеты насобирали. Как допёрли - чёрт знает. Вообще, у них там просто адский размах - ещё немного, и промзону рядом с городом @northtown умоют по всем статьям. Кузницы, лесопилки, водокачка, казармы... И везде жёлтые! Я одних жёлтых видел. Давай, заканчиваем это дело по-быстрому, и валим отсюда. <smile4>"
1_Process.6,"Ясно. Будем искать. {выход}"
10_Process.5,"{подмигнуть Угрюмому, отойти}"
4a_Process,""
4_Document,"Вернувшись из разведки, Угрюмый рассказал о том, что в лесу строится нечто огромных размеров, куда выше деревьев. Из-за строительных лесов очертания строения пока не видны, но Угрюмый на сто процентов уверен, что видел ракету. Всюду на строительной площадке присутствуют обломки капсул, на которых спускают осуждённых. Построены кузницы, лесопилки, стоит водокачка. Работают исключительно китайцы. Угрюмый предлагает срочно доложить резиденту об успешном выполнении задания и лететь с планеты как можно быстрее."
10_Process,"{Перед тобою плотный, коренастый человек небольшого роста, с понуро-злобным выражением лица. Это твой соратник по кличке Угрюмый,  вместе с которым вы должны исполнить задание по обнаружению несанкционированного космического аппарата. Угрюмый известен как непревзойдённый специалист по маскировке и подрывному делу. Разумеется, боец узнал тебя, однако не подаёт виду и молча смотрит в пространство - муштра в диверсионном училище не прошла для него даром.}"
5_Process.41,"Ты тут, я гляжу, времени зря не терял! Ладно, подумаем насчёт охоты."
4_Sheet.12,"Sullen_exploring"
