STRID,TEXT
1____________________,"1____________________"
0_p_found_0_desc_a,"{перед тобой - крепкий мужик среднего роста; на миг отвлекается от перекладывания ящиков, чтобы почтить тебя вниманием} Доброго времени суток. Я Брус, тружусь здесь завскладом. С чем пожаловал? Только не томи, сегодня работы и так до жопы."
0_p_found_1_brus_q,"Брус, говоришь?.. Во дела! Я тебя как раз искал."
0_p_found_1_brus_a,"{щурится с подозрением} Обожди, дружище, ты сперва представься. Понимаешь, не люблю я, когда про меня незнакомые рожи выспрашивают. <attention>"
0_p_found_2_understand_q,"Ещё как понимаю. Я ведь сам до недавних пор промзоновский. Наверно слыхал, что паровоз угнали? Так вот, это я решил прокатиться до Северного. Правда этот хлам на полпути сломался, но это уже детали."
0_p_found_2_understand_a,"{сильно поражён} Что тут сказать... я уж думал, сегодня опять одна рутина, а тут такая встреча! Расскажи, а как паровоз-то угнал? Там же толпа мордоворотов на стрёме стоит! И что, Бубен для тебя любезно распахнул ворота? <surprise>"
0_p_found_3_explain_q_guver,"Да там замес лютый вышел! Гувер начал расследовать побеги. В результате выяснилось, что за побегами стояли сами паровозники. Пока люди Гувера шли их арестовывать, Лёва ограбил склад и поднял мятеж. Ну а когда уже всё было усеяно трупами, я перехватил инициативу. Что насчёт ворот... на поверку они оказались не сильно-то крепкими. <smile5>"
0_p_found_3_explain_q_wolf,"Да там замес лютый вышел! Волк начал расследовать побеги. В результате выяснилось, что за побегами стояли сами паровозники. Пока люди Волка шли их арестовывать, Лёва ограбил склад и поднял мятеж. Ну а когда уже всё было усеяно трупами, я перехватил инициативу. Что насчёт ворот... на поверку они оказались не сильно-то крепкими. <smile5>"
0_p_found_3_explain_a,"Да ты просто жжёшь!!! Ты мой кумир! Так им, говноедам, и надо, за то что люд честной как рабов держат! У меня, конечно, всё было сильно проще и не так эффектно. Заплатил Лёве косарь, он меня и вывез в ящике из-под оружия. Блин, вспоминаю, как там было душно и тесно, потом всё туловище ныло. Но оно того стоило, понятное дело. Правда, когда накануне с корешами сидели, я перебрал и наговорил лишнего, сильно радуясь перспективе свободы, так что всё висело на волоске. Пришлось всякой ерундой заниматься, чтобы запутать следы - например, бросить свои шмотки за сортиром. Зад штанов я измазал в дерьме, чтобы придать особую загадочность!!! <laughter>"
0_p_found_4_cool_e,"Да твоя история тоже шик! Рад, что всё так обернулось. Ладно, братишка, не хворай - я пошёл. Сдавать не буду, не боись - мы ж с тобой братья по несчастью. {выход}"
2____________________,"2____________________"
0_p_ambient_0_hi_a,"Рад снова тебя видеть, дружище! С чем заглянул на этот раз? <smile2>"
0_p_ambient_1_passby_e,"Взаимно. Да ни с чем, гуляю просто. {выход}"
3____________________,"3____________________"
