STRID,TEXT
1____________________,"1____________________"
0_p_stop_0_desc_a,"{за складом стоят три охранника, гыгыкающие над тупой шуткой; при твоём приближении вожак подаёт голос} Это кто тут к нам колёса катит? Не видишь, люди цивильно общаются, а ты тут фонишь, пёс?! Вертайся обратно, откуда выполз, а то мы с пацанами тебя манерам-то обучим! {гыгыканье продолжается с новой силой} <discontent>"
0_p_stop_1_fuckoff_q,"Базар фильтруй, когда с начальством общаешься, дебила кусок. Это тебе не лохов щемить. {оглядеть публику} Вы все подо мной ходите, фактически. Так что слушать приказ. От Баклажана отваливаешь, никаких маканий в нужник и прочего. Примешься за старое - вздёрну всех троих за яйца, усёк? <contempt>"
0_p_stop_1_fuckoff_a,"{одной фразой ты сбиваешь с вожака всю спесь, повисает тишина} Э... Так это, Кабан, да? Я это, в глаза долблюсь! Принимай извинения за тухлый базар, уважаемый, попутал я мальца! А от фуфела того отвалим, да, братва??? {оглядывается на дружков в поиске поддержки, но те делают вид, что не при делах} <surprise>"
0_p_stop_2_mercy_e,"Видишь, как мы подружились - вот так бы сразу! {выход}"
0_p_stop_1_attack_e,"Щас мы выясним, кто кого обучит и сколько раз!!! {приступить к бою, не церемонясь}"
2____________________,"2____________________"
0_p_ambient_0_desc_a,"{завидев тебя, охранники резко прекращают привычный галдёж и начинают усиленно о чём-то шушукаться}"
0_p_ambient_1_move_e,"{грозно зыркнуть и пройти мимо}"
3____________________,"3____________________"
