STRID,TEXT
1____________________,"1____________________"
0_p_found_0_desc_a,"{персонаж целиком поглощён музыкой и совершает комичные телодвижения, отдалённо напоминающие танец; совершенно не подозревает о твоём присутствии} ...тяжкий гру-у-уз! <smile2>"
0_p_found_1_off_q,"{выдернуть магнитофон из розетки} Слышь, земеля, кончай дрыгаться! Перетереть надо."
0_p_found_1_off_a,"{оборачивается, и тебе удаётся рассмотреть его опечаленную физиономию} Дядь, ну ты чего? Я ведь не мешаю никому, просто выделил себе свободную минутку! Скоро работать пойду, чесслово! <sadness>"
0_p_found_1_scare_q,"{резко подскочить и орнуть, что есть мочи} БУ!!! <laughter>"
0_p_found_1_scare_a,"ААА!!! {от твоего сюрприза теряет равновесие и падает на жопу, таща за собой магнитофон, тот разбивается} Дядь, ну зачем??? Что я тебе сделал, за что мне всё это... <sadness>"
0_p_found_2_deserve_q,"Поделом тебе! Другой, кто с тыла зайдёт, может быть не так милосерден. <smile5>"
0_p_found_2_deserve_a,"{понуро} Ну... могло быть сильно хуже, знаю не понаслышке. Но музыку жалко, блин!"
2____________________,"2____________________"
0_p_panic_1_dontcare_q,"Мне пофиг. Я здесь за одним. Есть охранник, зовут Лёвой. Знаешь такого?"
0_p_panic_1_dontcare_a,"{резко бледнеет, на лице читается паника} Н-не знаю, не общался, ч-чесслово! Извини, дядь, мне пора работать! {пытается протиснуться к выходу} <fear>"
0_p_panic_2_threat_q,"{схватить за шкирняк, додавить морально} Гонишь, паскуда. Я церемониться не собираюсь. Или выкладываешь всё начистоту, или вырву твой лживый язык. <contempt>"
0_p_panic_2_threat_a,"{неудавшийся танцор готов обгадить штаны} Ладно, ладно!!! Н-не стукай только, у меня печень больная и сердце слабое, вот! Я всё расскажу, но только ты никому, п-прошу, а то мне каюк!.. <surprise>"
0_p_panic_3_hurry_q,"А когда под шансон скакать, как ишак горный, так сердце сильное! Рассказывай давай, не томи."
0_p_panic_2_block_q,"{преградить дорогу} Да ты постой, чё так суетишься? Я же сказал, мне пофиг. Рассказывай как есть, и можешь бежать вприпрыжку на все четыре стороны. <attention>"
0_p_panic_2_block_a,"{смотрит в пол, теребя в руках край робы} Ты пойми, дядь... я бы с радостью поделился, но не могу, правда! Со мной нехорошее сделают, а я жить хочу! Я ведь молодой ещё... духом. Столько всего не видывал, не испытывал! {шмыгает носом} <sadness>"
0_p_panic_3_music_q_100,"{протянуть 100 монет} Может, сотка развяжет тебе язык? Купишь себе новый магнитофон, козырный."
0_p_panic_3_music_q_200,"{протянуть 200 монет} Может, две сотки развяжут тебе язык? Купишь себе новый магнитофон, козырный."
0_p_panic_3_music_q_300,"{протянуть 300 монет} Может, три сотки развяжут тебе язык? Купишь себе новый магнитофон, козырный."
0_p_panic_3_music_a,"{мнётся, но жадно смотрит на деньги} Блин, я как раз всё до копейки Лёве отдал... Хотца, ой хотца, но колется!"
0_p_panic_4_give_q,"{насильно всучить монеты} Нечего сиськи мять, я за тебя уже подумал! Рассказывай давай, не томи."
