STRID,TEXT
1____________________,"1____________________"
0_p_info_0_desc_a,"{перед тобой - мужик с усами, крепкий и высокий, смотрит на тебя с подозрением; создаётся впечатление, что мимо его зоркого взгляда не проскочит и вошь} Приветствую. По какому вопросу? <distrust>"
0_p_info_1_tower_q,"Эта вышка, под которой стоим - ты всегда здесь дежуришь?"
0_p_info_1_tower_a,"{хмурится} Допустим. Кто и с какой целью интересуется? <attention>"
0_p_info_2_ask_q,"Кабан, начальник охраны патронного завода. Расследую участившиеся побеги. Думается мне, можешь поделиться информацией о том, как проходит погрузка и отправка состава. Тебе-то с вышки виднее."
0_p_info_2_ask_a,"Ладно, можем перетереть. Только недолго, а то скоро на смену заступать. Что конкретно интересует?"
2____________________,"2____________________"
0_p_info_ask_1_escapee_q,"Что-нибудь знаешь о пропавших рабочих?"
0_p_info_ask_1_escapee_a,"Был тут один, звали Кулибиным. Неспроста звали, доложу я тебе - мужик-то толковый был, рукастый! {вздыхая} Никто так хорошо носки не штопал, как он... Так вот, перед пропажей он как бы невзначай тёрся у паровоза, что уже вызывает вопросы. Потом куда-то делся - говорят, бежал. {понижая голос} Закрадываются мысли, что паровозники либо в глаза долбились, либо вообще сами его и вывезли. Я бы смотался до начальства, но железобетонных доказательств нет, братва не поймёт. <attention>"
0_p_info_ask_1_checks_q,"После погрузки охрана ведь всё перепроверяет?"
0_p_info_ask_1_checks_a,"Само собой. Перед отправкой охрана обходит состав, заглядывает под днище, проверяет содержимое ящиков и всё такое. Братва с вышек тоже поглядывает. Беглецам там укрыться негде... в теории."
0_p_info_ask_1_coal_q,"Шахтёры привозят уголь на тачках и сразу сгружают в вагоны?"
0_p_info_ask_1_coal_a,"Угу. Негры вылазят из шахты, мозолят глаза окружающим, потом поезд убывает и они забираются назад в своё кубло. И так по кругу."
0_p_info_ask_2_hide_q,"Можно ли, скажем, спрятаться в куче угля и так уехать?"
0_p_info_ask_2_hide_a,"Занятно шутишь! Куча-то не сразу материализуется, как ни странно. К тому же, вокруг вагонов трётся толпа народу, включая охрану. Одарённых персонажей, бороздящих угольные просторы, мы бы засекли и постреляли сразу. <reverie>"
0_p_info_ask_1_thanks_q,"Благодарствую за информацию, применим по назначению. Есть мнение, что охрана что-то недоглядывает."
0_p_info_ask_1_thanks_a,"{зевает} Ну типа удачи докопаться до истины. А я полез наверх - служба зовёт. Бывай. <yawning>"
0_p_info_ask_2_done_e,"{проводить охранника взглядом}"
3____________________,"3____________________"
