STRID,TEXT
8_Process.1,"{выход}"
7_Sheet.39,"dialog 4b"
4_Process.17,"{выход}"
2_Process.2,"А я вижу причины для того, чтобы от этой затеи отказаться."
2_Process,"Отлично. Собственно, не вижу причин откладывать. "
1_Process.158,"Четыреста."
1_Process.103,"{угрюмо высыпает тебе в ладонь ещё сотню}"
6_Process.8,"Сделаем."
5_Process.186,"Пять."
5_Process.57,"Да ты никак не уймёшься! Всё, мужики, валим его. <smile2>"
5_Process.13,"{оглушительно хохочет} Это не я в связке с разведкой, а она в связке со мной, @hero!!! У нас есть методы для работы с кем угодно. Даже с тобой. Так что ты лучше не баклань, а молись, пока есть чем! <smile4>"
3_Process.8,"Ни разу я в расстрельной команде не был, да ещё по такому поводу. Пусть это кто-нибудь другой сделает, а я не хочу. <attention>"
2_Process.33,"Да не имбецил вроде."
2_Process.11,"Верну, без проблем."
1b_Process.11,"{отправиться к Шубе}"
1_Process.247,"Триста."
1_Process.225,"Высоко ты себя ценишь. Не пойдёт."
1_Process.16,"Со мной договариваться не о чём. Я человек подневольный - что говорят, то и делаю."
5_Sheet.188,"global_8000_wolf"
5_Process.132,"Восемь."
3_Process.9,"Не кривляйся, @hero. Мне нужно, чтобы это сделал именно ты. Лично мне это надо. А значит, надо и тебе."
2_Process.23,"Приступаем! Выдавай уже конкретный план действий. "
1_Sheet.172,"Волк нападает на Кабана"
6_Preparation,"Начальник охраны промзоны Волк дал мне поручение - разобраться с фактами хищения имущества и продукции на патронном заводе. "
6_Process.22,"Лучше извинись. <contempt>"
6_Process,"Тут такое дело. Начальник патронного завода поделился - тащат, мол, с предприятия всё подряд. От инструментов до продукции. Там у него есть начальник охраны, кличка Пупырь, но пользы от него как от слона перьев. {повторить рассказ Сухаря} <smile5>"
5_Sheet.189,"1"
5_Process.166,"Не на том сэкономить пытаешься, беглый! Завершай кривляться - плати или дерись! <edgy>"
5_Process.111,"{смеётся} Туговато на вольных-то харчах жить, а, @hero? Нет денег - нет разговора. <attention>"
5_Process.48,"{рявкает} Проваливай!!! <rage2>"
5_Process.15,"Слышь, Волк, давай поговорим как разумные люди. Обозначь цену. Если мы начнём драться, потери среди твоих гавриков будут ужасающие. Так что подумай, что тебе важнее - моя смерть или их жизнь. <attention>"
2_Process.24,"Значит так. Сейчас иди в цех грубой обработки, найди там работягу по имени Шуба. Спроси, продаёт ли он славянский шкаф. Если ответит \"да\", быстро скачи назад, жди ухода Гувера и действуй по плану. Всё ли понятно?"
2_Process.5,"Э, братан, ты думай, что говоришь! Деньги ведь взял!"
1_Process,"{Перед тобой - высокий худой шатен с мрачным взглядом, в чёрной робе и штанах.} Сколько тебе заплатил Гувер, чтобы ты за мной шпионил?"
1_Process.249,"Изрядно. Сомневаюсь, что ты способен заинтересовать меня ещё сильнее."
1_Process.139,"Живём мы тут под Гувером давно и неправильно. Он ведь происходит из чиновников какого-то там министерства, а потому развёл здесь бюрократию гнойную - непрерывные малявы, почеркухи, отчёты... Понятия не в почёте, закон подвинули. Ещё не хватало нам здесь филиал имперской канцелярии устроить - а всё к тому идёт! Скоро на орбиту станем бумажки засылать. Я тут было попытался возразить против этого беспредела - так он меня чуть не опустил, козёл. В общем, @hero, с Гувером надо что-то решать. Точнее, я уже знаю - что. Убить его трудно, потому что охрана у него - будь здоров. Именно поэтому ты и нужен - он тебе доверяет, у тебя доступ в его конуру имеется. Так что слушай. "
1_Process.117,"Справедливо!"
1_Process.18,"{Волк ещё пару секунд глядит на тебя, а потом внезапно начинает изо всех сил орать} Стой, буду стрелять!!! Не шевелиться!!! Назад! {Вынимает огромный трёхствольный пистолет}"
5_Process.167,"Три."
5_Process.145,"Девять."
5_Process.112,"{ухмыляясь} Опять ты вышел сухим из воды, @hero! Давай бабло и проваливай. <smile5>"
5_Process.38,"{долго думает} Не знаю, о чём ты там лопочешь. Плати сто монет за проход и уматывай, пока я не передумал. <rage2>"
